docid,level,parent,code,label
1,0,0,chim,chim = Chimie
2,1,1,chim.anal,chim.anal = Chimie/Chimie analytique
3,1,1,chim.cata,chim.cata = Chimie/Catalyse
4,1,1,chim.chem,chim.chem = Chimie/Chemo-informatique
5,1,1,chim.coor,chim.coor = Chimie/Chimie de coordination
6,1,1,chim.cris,chim.cris = Chimie/Cristallographie
7,1,1,chim.geni,chim.geni = Chimie/Génie chimique
8,1,1,chim.inor,chim.inor = Chimie/Chimie inorganique
9,1,1,chim.mate,chim.mate = Chimie/Matériaux
10,1,1,chim.orga,chim.orga = Chimie/Chimie organique
11,1,1,chim.othe,chim.othe = Chimie/Autre
12,1,1,chim.poly,chim.poly = Chimie/Polymères
13,1,1,chim.radio,chim.radio = Chimie/Radiochimie
14,1,1,chim.theo,chim.theo = Chimie/Chimie théorique et/ou physique
15,1,1,chim.ther,chim.ther = Chimie/Chimie thérapeutique
16,0,0,info,info = Informatique [cs]
17,1,16,info.eiah,info.eiah = Informatique [cs]/Environnements Informatiques pour l'Apprentissage Humain
18,1,16,info.info-ai,info.info-ai = Informatique [cs]/Intelligence artificielle [cs.AI]
19,1,16,info.info-ao,info.info-ao = Informatique [cs]/Arithmétique des ordinateurs
20,1,16,info.info-ar,info.info-ar = Informatique [cs]/Architectures Matérielles [cs.AR]
21,1,16,info.info-au,info.info-au = Informatique [cs]/Automatique
22,1,16,info.info-bi,info.info-bi = Informatique [cs]/Bio-informatique [q-bio.QM]
23,1,16,info.info-bt,info.info-bt = Informatique [cs]/Biotechnologie
24,1,16,info.info-cc,info.info-cc = Informatique [cs]/Complexité [cs.CC]
25,1,16,info.info-ce,"info.info-ce = Informatique [cs]/Ingénierie, finance et science [cs.CE]"
26,1,16,info.info-cg,info.info-cg = Informatique [cs]/Géométrie algorithmique [cs.CG]
27,1,16,info.info-cl,info.info-cl = Informatique [cs]/Informatique et langage [cs.CL]
28,1,16,info.info-cr,info.info-cr = Informatique [cs]/Cryptographie et sécurité [cs.CR]
29,1,16,info.info-cv,info.info-cv = Informatique [cs]/Vision par ordinateur et reconnaissance de formes [cs.CV]
30,1,16,info.info-cy,info.info-cy = Informatique [cs]/Ordinateur et société [cs.CY]
31,1,16,info.info-db,info.info-db = Informatique [cs]/Base de données [cs.DB]
32,1,16,info.info-dc,"info.info-dc = Informatique [cs]/Calcul parallèle, distribué et partagé [cs.DC]"
33,1,16,info.info-dl,info.info-dl = Informatique [cs]/Bibliothèque électronique [cs.DL]
34,1,16,info.info-dm,info.info-dm = Informatique [cs]/Mathématique discrète [cs.DM]
35,1,16,info.info-ds,info.info-ds = Informatique [cs]/Algorithme et structure de données [cs.DS]
36,1,16,info.info-es,info.info-es = Informatique [cs]/Systèmes embarqués
59,1,16,info.info-et,info.info-et = Informatique [cs]/Technologies Émergeantes [cs.ET]
379,1,16,info.info-fl,info.info-fl = Informatique [cs]/Théorie et langage formel [cs.FL]
37,1,16,info.info-gl,info.info-gl = Informatique [cs]/Littérature générale [cs.GL]
